,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 30, 390), (2, 390, None), (8, 3840, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,57.310061601642715,30,6016.852000000001,True,80.64649722412352,93.00452893612352,12.358031712000002
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 1200, 4680), (1, 4680, None)]}",309.54978900857253,128656.5398487731,1200,1171.302179692,1,27.78918548939083,1200,70462.742,True,212.89538778614343,243.81133194134344,30.9159441552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 6600, 11070), (1, 11070, None)]}",330.5774711754339,133935.0853214728,6600,6577.1302594300005,1,47.25302304357746,6600,27431.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 6630, None)]}",295.26855467250385,134211.33692179818,6630,6591.668185825,1,214.2718083504449,6630,26089.311840722996,True,256.02410437638434,295.4875887893706,39.46348441298623
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 6660, 9660), (1, 9660, None)]}",293.5168981771201,134390.7742238302,6660,6603.930433171,3,9.126169290440338,6660,45284.59299999999,True,63.31218039394629,80.19511531474629,16.882934920799997
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 7200, None), (6, 8460, None)]}",57.825321252479114,21342.615382404045,7200,7179.872112031,3,7.665982203969882,7200,8753.835000000001,True,12.13529545973079,15.371314219730793,3.236018760000004
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 7230, None)]}",310.4901833144852,135044.38629492297,7230,7192.968239941,3,,7230,23115.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 7800, None)]}",281.9460745575701,135744.02352351462,7800,7782.749092321001,1,258.5495140314853,7800,34384.424999999996,True,281.0278405201916,324.1584116401916,43.13057111999999
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 7830, 8490), (1, 8490, None), (11, 12360, None)]}",91.00759406898061,38844.58517454064,7830,7799.768675287,3,24.3212411590235,7830,14127.894,True,40.16233629933836,50.87209397613836,10.7097576768
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 8400, 9690), (1, 9690, None)]}",88.24903114605627,39606.92996593473,8400,8398.507190386,3,18.115446041524066,8400,21653.818000000003,True,29.970063122670926,37.961931703470924,7.991868580800001
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 8430, 9390), (2, 9390, None), (10, 13680, None)]}",98.97570184637311,39749.63647781776,8430,8392.822984597,3,30.025096965548713,8430,16941.481365149953,True,76.96064549669092,97.48310359714877,20.522458100457854
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 8460, 10470), (1, 10470, None)]}",310.3508838593914,136208.04312454746,8460,8399.507190386,3,6.114533424595026,8460,64144.399,True,87.75480873070194,111.15565696510194,23.400848234399998
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 8490, 10500), (2, 10500, None)]}",308.5846884800438,136504.48164201414,8490,8404.267885883,2,8.686918223226783,8490,15973.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 9000, 11010), (1, 11010, None)]}",322.3613792231315,136697.58328659934,9000,8990.424422789001,2,6.483821870550658,9000,40964.176,True,67.26193669825952,81.85711848385952,14.595181785600001
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 9030, None), (4, 14310, None)]}",89.7921856815224,40250.37312880927,9030,9001.644101024001,1,28.510152863335616,9030,16872.014946059982,True,69.42757157750371,79.94562715023528,10.518055572731573
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 9060, None)]}",300.8642397517245,136440.71197832012,9060,9025.275621419001,3,,9060,43697.921,True,105.37051030496615,133.46879182016613,28.0982815152
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 9090, None)]}",317.6420201174764,136575.73030865265,9090,9006.666152261001,2,,9090,32841.023,True,76.61562307231428,105.51586785871427,28.900244786400002
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 9600, 10890), (2, 10890, None)]}",100.9864715008785,40762.619708353486,9600,9592.887218405001,2,5.162319741998986,9600,15536.408,True,17.793439381213062,24.178725550813063,6.3852861696
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 9630, None), (4, 11340, None)]}",64.77903730143166,23576.01561001035,9630,9601.643590595002,2,7.510867224427534,9630,14048.641000000001,True,21.877249113345723,29.856149850945727,7.978900737600004
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 9660, None)]}",94.51083597672981,40658.733462281896,9660,9628.380881147003,1,39.32466347250742,9660,15351.974000000002,True,60.1706887215758,69.4053473391758,9.234658617600003
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 9690, 11130), (1, 11130, None)]}",105.56808496111117,40761.38989093228,9690,9604.733065808003,3,10.951403148528405,9690,12723.282,True,13.374830025096964,16.941385204296964,3.5665551791999994
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 9720, 12210), (1, 12210, None)]}",290.6639501784463,137159.08344680842,9720,9585.197718427502,2,9.0689814072675,9720,51523.547000000006,True,88.83760110992698,108.82295177312699,19.985350663200002
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 9750, None)]}",332.81097832014945,137421.10191814203,9750,9620.998325945002,3,,9750,56000.428,True,140.69641189444062,178.2147590880406,37.5183471936
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 10200, 11250), (1, 11250, None), (11, 11970, None)]}",46.55013787044631,24371.986389988386,10200,10185.108530309002,1,41.34382842801734,10200,13411.064887384675,True,61.21308566257932,70.648468682458,9.435383019878689
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 10230, 11040), (2, 11040, None)]}",57.77199384513077,24390.189517886465,10230,10213.347309182001,2,2.612883440371161,10230,11741.369000000002,True,4.519533857260072,6.074092390060073,1.554558532800002
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 10260, 10860), (2, 10860, None)]}",56.56222725445129,24429.241597491422,10260,10208.852495108002,1,6.342687656856034,10260,14632.168,True,26.71107521484523,30.744497896445232,4.033422681599999
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 10290, 23425.896), (1, 23425.896, None)]}",295.24467469152273,137785.6656632853,10290,10211.729714756002,3,59.94020533880903,10290,26415.188,True,64.4870028139022,81.6832179019022,17.196215088
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 10320, 20995.896), (1, 20995.896, None)]}",291.443531643958,138161.00063109305,10320,10221.972138386001,2,42.72278192583567,10320,63280.845,True,128.52048458358237,167.32197698598236,38.8014924024
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 10800, None)]}",76.07511246679637,24920.890057000153,10800,10783.97867417,3,12.411590234998858,10800,13568.969000000001,True,16.846719902654197,21.3390952082542,4.492375305600001
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 10830, None)]}",82.04480128359563,41959.72831595221,10830,10796.912052227,2,,10830,19494.185999999998,True,31.556362145826252,45.613137512226245,14.056775366399997
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 10860, None)]}",290.8535591080783,138836.7313843095,10860,10802.585843102,3,,10860,19796.862,True,54.372877024868814,68.87204193366881,14.499164908800001
lamf-test-794e981d-7b48-479b-88a9-08c76168b3f4,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 11400, None)]}",55.43753343799916,25549.920663705878,11400,11372.180647079,3,3.832991101984941,11400,15408.055,True,12.192729485131949,15.444063701131949,3.251334216
lamf-test-d89dd74a-ca32-43e3-9fdb-057b16e15c3a,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 11430, None)]}",52.589033620058174,25605.37809474601,11430,11397.473460182,1,6.317590691307323,11430,17854.001999999997,True,34.68736344969197,39.89851387209197,5.211150422399998
lamf-test-9d73df9e-a4e9-43ed-b3cd-731892da568c,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 11460, 13050), (1, 13050, None), (3, 14340, None)]}",116.24356079750007,42524.32394567384,11460,11408.473166855,3,16.472735569244808,11460,14929.034,True,20.05648490379496,25.40478166539496,5.3482967615999994
lamf-test-700b88cb-1fe1-443f-85f3-4e83586778d7,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 11490, None)]}",323.88597973304996,138697.00011543167,11490,11419.237496476999,1,,11490,43148.967,True,170.94734633812456,196.62910036852455,25.681754030399997
lamf-test-76901c5b-cc70-4a21-8b6a-aa4aa3dedd24,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 12000, None)]}",295.82083300729096,139292.37464460867,12000,11988.615456340998,2,,12000,21647.071,True,26.225270783149604,34.050974778349605,7.8257039952
lamf-test-50c28631-c9b3-47d9-9e36-b5f64438ea4d,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 12030, 12900), (2, 12900, None)]}",57.792712238435485,25908.37747992933,12030,12017.636755571999,3,7.939767282683093,12030,17364.572,True,21.521247243136358,27.260140049536357,5.7388928064
lamf-test-0ae28a41-e363-4bde-bdce-50f826df3b42,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 12060, 13650), (1, 13650, None)]}",87.69850691765791,43287.70651195623,12060,12009.914119526999,3,9.673739447866756,12060,32748.205999999995,True,38.722649631150645,49.04849798475064,10.325848353599998
lamf-test-f6a7b87b-3fe2-4927-871e-a0cac1bfa236,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 12090, None)]}",80.84812600328213,43335.47717382676,12090,12029.366987160998,3,,12090,20419.7,True,38.00912616929044,48.14470512929044,10.135578960000002
lamf-test-6ea3ccb6-5ec7-474a-bd76-4c0b7e74a8fd,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 12120, None)]}",318.43627200467716,139514.37892093117,12120,12018.636755571999,3,,12120,21767.071,True,58.693868735265035,74.34527672566503,15.6514079904
lamf-test-9da27dae-e6dc-4f47-b706-a6e8a3713464,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 12150, None)]}",296.9549680882063,139780.02772441573,12150,12015.376503147,3,,12150,17125.19,True,45.404426192105845,57.51204857610584,12.107622383999997
lamf-test-c0570041-d32e-4e8b-8d2d-a250dfe399fc,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 12180, 23335.896), (1, 23335.896, None)]}",309.1917473885502,139821.59526735908,12180,11989.615456340998,1,146.77694182067077,12180,51803.762265491474,True,226.88273327425543,261.0534569195388,34.170723645283346
lamf-test-cacf2328-5a7f-4177-ad3a-d6767db7f233,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 12210, None)]}",299.34289693362723,139899.40903746855,12210,11974.918577368999,2,47.52493982536961,12210,26271.842999999997,True,56.272658703713354,84.79007630771335,28.51741760399999
lamf-test-ca7252f0-85f2-4005-896c-fb17b2f26952,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(6, 12240, 22375.896), (2, 22375.896, None)]}",304.02222934164064,139988.88899722273,12240,11992.234884383999,1,159.56578234086243,12240,38737.022999999994,True,247.91014442162898,285.84900714962896,37.938862728
lamf-test-01aed4d0-4ac3-4934-b29d-300b9eb1cf38,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c8710>: [(6, 12600, None)]}",48.38806555130056,26953.866216923067,12600,12590.274986097998,3,,12600,13765.723839839247,True,10.63859310827513,18.27921344411749,7.640620335842362
lamf-test-f035cec5-13b9-4feb-9d16-93fce26c2cc2,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c11d0>: [(3, 12630, None)], <resource_manager.instance.CloudReservedInstance object at 0x12fec3e00>: [(1, 14190, None)], <resource_manager.instance.CloudReservedInstance object at 0x12fef6650>: [(1, 14190, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x12fef68b0>: [(1, 14190, None)]}",59.50673849065216,26814.734272923793,12630,12607.724940654998,2,3.7559945875695067,12630,20493.577474246267,True,52.04839573136628,85.45145869180477,33.4030629604385
lamf-test-7dc86417-03bf-4f7d-b2cc-4f303d7c708b,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c11d0>: [(3, 12660, None)], <resource_manager.instance.CloudReservedInstance object at 0x1450c0f50>: [(1, 12660, None)]}",122.20824587768153,43949.966655265416,12660,12611.308783707998,2,,12660,25853.601486759853,True,48.604766915742786,67.19191269029007,18.587145774547285
lamf-test-6e11c3c3-b9bf-4aa2-897f-6c03a891a9cd,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 13200, 22975.896), (2, 22975.896, None)]}",323.10613238146993,140821.22064704046,13200,13186.626887895998,3,74.34706821811545,13200,30915.059221242893,True,98.49845074528221,124.76421703835445,26.265766293072236
lamf-test-6718dd63-82fd-49d3-b154-c2385c7724e4,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 13230, 14280), (2, 14280, None)]}",53.92864783453742,27305.794091462296,13230,13203.034949700997,1,11.09970339949806,13230,18612.885,True,34.495766598220385,39.71412291022038,5.218356311999998
lamf-test-561c40aa-4fd2-4142-aa20-b41c53e185e4,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 13260, None)]}",92.22367706149063,44509.15566448812,13260,13231.900470541997,2,,13260,21754.778000000002,True,23.09279710833911,29.98376102193911,6.890963913600001
lamf-test-c5a6ffed-1196-4516-a2cc-67f21c8eb5f5,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c0f50>: [(2, 13290, None)]}",321.906162634098,140900.98845260282,13290,13201.637541744998,2,,13290,54481.90556131574,True,70.43543805168278,103.65259069632779,33.21715264464502
lamf-test-93fc33e5-0604-48d1-8efe-1dfc9145e379,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c0f50>: [(3, 13320, None)], <resource_manager.instance.CloudReservedInstance object at 0x12fef63f0>: [(2, 13320, None)]}",318.63019504491797,140946.13151378403,13320,13230.900470541997,1,,13320,37054.66644562934,True,194.94592563145244,251.51038270467626,56.564457073223835
lamf-test-92b10550-cff6-47f7-a077-4b4db1587046,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 13800, None)]}",81.64667311738593,44918.40247420569,13800,13786.267867897997,2,,13800,19037.222,True,19.07480680471178,27.571675777511782,8.496868972800002
lamf-test-0ee3ab93-6383-46f5-aeca-265dafdbd84c,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 13830, None)]}",39.66592451958817,27936.236094017237,13830,13807.331431535997,3,,13830,16312.82697912345,True,18.88224944196099,23.917422555623347,5.035173113662357
lamf-test-29b14cf4-c2e0-462e-a5b2-16a34ab23f1f,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c8710>: [(2, 13860, None)]}",89.42960233211319,44886.74173293996,13860,13806.331431535997,3,,13860,23808.445846444058,True,30.26373365714216,51.999098142453136,21.735364485310974
lamf-test-107c896d-ee0f-4ca2-89f1-19c67b8002a2,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c8710>: [(2, 13890, None)]}",98.1671155759394,45053.99307238123,13890,13826.363790633997,3,,13890,17237.530372875943,True,10.183376295918906,17.497060654578263,7.3136843586593585
lamf-test-0ab21652-7e84-40ef-afc1-d04cb7c18425,"{<resource_manager.instance.CloudReservedInstance object at 0x1450c8710>: [(2, 13920, None)]}",99.9394489602227,45094.030108798506,13920,13825.363790633997,3,,13920,18537.013467589564,True,14.045215507155111,24.13246653114479,10.087251023989678
lamf-test-d81c27cf-4838-43c5-ac8d-f0f7d5a86a71,"{<resource_manager.instance.CloudReservedInstance object at 0x12fef63f0>: [(4, 13950, 39738.576), (1, 39738.576, None)]}",313.16578296695053,141492.74760206367,13950,13781.646970216998,3,156.9006068902578,13950,141508.14760206366,False,311.6949967329282,,
lamf-test-3484ce7d-9fee-4f95-9c2d-f871cc58413f,"{<resource_manager.instance.CloudReservedInstance object at 0x12fec3e00>: [(3, 13980, 41769.648), (1, 41769.648, None)]}",280.48808000057255,141546.26557749213,13980,13816.562133353997,3,84.53767738991557,13980,126131.60706100844,True,170.0822907303556,291.2510951016281,121.1688043712725
lamf-test-34f82a8b-288c-437f-910d-553d4a2c7dfc,"{<resource_manager.instance.CloudReservedInstance object at 0x12fec3e00>: [(2, 14010, None)]}",332.1651620956545,141624.80471014604,14010,13830.428700363997,1,,14010,39162.65569599012,True,92.45658924426617,128.7971461938327,36.340556949566526
lamf-test-aa879c60-c521-40a2-972a-cf0714098824,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 14400, None)]}",56.99333448866139,28593.850740866917,14400,14376.476563131997,2,,14400,22255.119,True,21.353903460321096,27.725975993121097,6.372072532799999
lamf-test-a5bf6748-f8d5-4a59-badc-d9816f45493a,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 14430, None)]}",54.40376906069801,28575.63360397256,14430,14419.243997875998,2,,14430,23414.549000000003,True,24.424224761015658,31.71249090981566,7.288266148800002
lamf-test-48feb4fc-2742-45dc-808f-e652fe900563,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 14460, None)]}",41.254966979320166,28396.247405250848,14460,14431.315852028996,1,,14460,17995.777000000002,True,28.234587040839624,32.53692049443963,4.302333453600003
lamf-test-c8383b87-eaaf-4727-8a38-364a265a9c1b,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 14490, None)]}",87.74670802746411,45433.39015280829,14490,14418.243997875998,2,,14490,28996.03,True,39.43420388825703,51.20149542425703,11.767291535999998
lamf-test-cfb32c98-2421-4b31-9da7-090b5212bb9a,"{<resource_manager.instance.CloudOnDemandInstance object at 0x12fef68b0>: [(6, 14520, None)]}",311.65623815536327,141901.25213916635,14520,14391.286869912998,1,1105.2853552361396,14920.536,104126.21062662432,True,1410.6384972021624,2609.462067933644,1198.8235707314814
lamf-test-c1ff5343-c068-4179-8505-1de35f1c5237,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 14950.536, 29067.504), (1, 29067.504, None)]}",328.6266875432299,142089.18755465752,14950.536,14414.436639285997,2,51.416273220478026,14950.536,55058.456000000006,True,104.15286210669774,137.59816112109775,33.44529901440001
lamf-test-9d2ced27-20c6-49c1-84d1-76444fddb91f,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 14980.536, None)]}",313.4023701696379,142090.62557702698,14980.536,14427.712795657997,2,,14980.536,35249.695999999996,True,65.38389199288088,90.04740588088087,24.663513887999997
lamf-test-d4b58a16-b6c8-4064-88b0-a3ec8e4212ba,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 15010.536, None)]}",56.907858453854786,29373.404751380927,15010.536,14998.955465244997,2,,15010.536,19114.878,True,11.157529610454182,14.486971840854181,3.3294422304
lamf-test-bbc839c8-f836-4f9a-a8e0-6cb8342496f2,"{<resource_manager.instance.CloudOnDemandInstance object at 0x12fef68b0>: [(3, 15040.536, None)]}",114.4912360012796,46225.50364451938,15040.536,14997.955465244997,3,125.11572895277206,15441.072,45215.364267148405,True,137.69029553798038,339.5417917482429,201.85149621026252
lamf-test-2e0bd3ff-93cb-46df-ab43-ee2f13d4c7e1,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(3, 15471.072, None)]}",316.2487464140096,142101.42014452798,15471.072,14398.144110501999,1,,15471.072,24910.842999999997,True,75.3803296828656,86.86664303566559,11.486313352799996
lamf-test-26bbd872-e5de-48b0-8f8f-e6417ce7af20,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 15501.072, None)]}",298.1380358381042,142248.68313491117,15501.072,15008.840068179998,2,,15501.072,44419.185,True,78.61301569799981,102.07138896359982,23.4583732656
lamf-test-6323d458-f602-48c5-98a5-f5c1a1584292,"{<resource_manager.instance.CloudOnDemandInstance object at 0x12fef68b0>: [(2, 15531.072, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x1450c1590>: [(3, 15531.072, None)]}",313.6595923894348,142396.03225640085,15531.072,14428.712795657997,1,,15931.608,72746.49976103957,True,543.9142497627154,922.7948123963195,378.88056263360403
lamf-test-7a641bba-d417-49ff-88d9-3fe54ccc21c1,"{<resource_manager.instance.CloudOnDemandInstance object at 0x1450c1590>: [(5, 15961.608, None)]}",72.4727596207448,29774.349873304753,15961.608,15617.403939027998,1,,16362.144,27272.852265635793,True,75.70077537272414,116.46649970607552,40.76572433335139
lamf-test-05c2e1a5-42c3-4e97-863b-94fa07e33793,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 16392.144, None)]}",91.04820322006628,46855.369896186785,16392.144,15581.917913937998,2,25.180999334320685,16392.144,27285.480000000003,True,39.67528580205533,57.34863412845533,17.673348326400003
lamf-test-75f66efa-1a77-47ea-a0c6-c0317f11e7c2,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 16422.144, 23125.896), (1, 23125.896, None)]}",323.850834844211,142463.38209923613,16422.144,14408.049865164998,3,50.98297969427333,16422.144,28095.451000000005,True,58.541813065632375,74.15267362963237,15.610860564000001
lamf-test-032ba352-18f7-47d0-a6f0-b7f2f4956a0a,"{<resource_manager.instance.CloudOnDemandInstance object at 0x1450c1590>: [(4, 16452.144, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x1450c1090>: [(2, 16452.144, None)]}",307.62274626708137,143019.71486614167,16452.144,15031.759145883998,3,335.711223667199,16852.68,126879.03310508329,True,447.8997707509652,963.4365366891749,515.5367659382097
lamf-test-a4d8ead1-b39f-46fe-9cfa-58d32f343ff0,"{<resource_manager.instance.CloudOnDemandInstance object at 0x1450c1090>: [(4, 16882.68, 24235.896), (1, 24235.896, None)]}",84.41713409588449,47975.65262694816,16882.68,16777.76006803,1,27.029085101528636,17283.216,24244.628996611395,False,27.038604681073085,,
lamf-test-98a6ab80-499b-4f3a-95f7-4dd7df820566,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(2, 17313.216, None)]}",105.87093398460661,47987.43438355306,17313.216,16813.939750653997,1,,17313.216,26180.372,True,47.8795403452734,55.0725772924734,7.1930369471999995
lamf-test-d2eb5728-b98d-4dc8-9b54-d5b61be5f0ce,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 17343.216, 22315.896), (1, 22315.896, None)]}",294.31398108778467,143222.12513418397,17343.216,15596.825885784998,2,18.11130219449436,17343.216,56453.018,True,87.37676690978167,109.29045962498166,21.9136927152
lamf-test-3058457a-d1e2-4d92-baae-1c4c74ce602b,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 17373.216, 28546.968), (1, 28546.968, None)]}",296.32729201787157,143394.90470026352,17373.216,15610.438985772998,2,44.71510119519431,17373.216,90912.83899999999,True,171.25772646948252,219.21369280308252,47.955966333599996
lamf-test-724d0d5f-301b-4490-8457-7773ef64d695,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(5, 17403.216, None)]}",109.55462846539683,48512.99725436336,17403.216,17401.762103125,2,,17403.216,20596.857132355155,True,12.78030749334652,19.25701170976277,6.476704216416254
lamf-test-a3da9951-7484-4541-a43a-d268b07d7f2b,"{<resource_manager.instance.OnPremInstance object at 0x12fec3b60>: [(4, 17433.216, None)]}",322.8627978188001,143927.94160941793,17433.216,16229.780558664997,2,,17433.216,32255.077,True,53.98360716068406,78.03059444708406,24.0469872864
